Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
97,Entry long,2023-12-17,Long,41396.5,0.292634,12114.02338,214.16,1.77,896.99,7.40,-253.04,-2.09,11353.76,1135.38
98,Exit long,2024-01-02,Margin call,44230.3,0.000708,31.3149816,-0.03,-0.11,0,0.00,-0.02,-0.05,11346.95,1134.69
98,Entry long,2024-01-01,Long,44230.2,0.000708,31.3149816,-0.03,-0.11,0,0.00,-0.02,-0.05,11346.95,1134.69
99,Exit long,2024-01-15,Exit L,42515,0.278519,12318.95107,-490.62,-3.98,1329.78,10.79,-1092.58,-8.86,10863.1,1086.31
99,Entry long,2024-01-01,Long,44230.2,0.278519,12318.95107,-490.62,-3.98,1329.78,10.79,-1092.58,-8.86,10863.1,1086.31
100,Exit long,2024-01-30,Margin call,43287.6,0.000108,4.6750716,-0.01,-0.11,0,0.00,-0.003,-0.06,10856.58,1085.66
100,Entry long,2024-01-29,Long,43287.7,0.000108,4.6750716,-0.01,-0.11,0,0.00,-0.003,-0.06,10856.58,1085.66
101,Exit long,2024-02-10,Margin call,47116.1,0.000196,8.4843892,0.74,8.72,0.96,11.36,-0.28,-3.34,10857.33,1085.73
101,Entry long,2024-01-29,Long,43287.7,0.000196,8.4843892,0.74,8.72,0.96,11.36,-0.28,-3.34,10857.33,1085.73
102,Exit long,2024-02-29,Margin call,62487.9,0.000056,2.4241112,1.07,44.20,1.18,48.46,-0.08,-3.34,10858.4,1085.84
102,Entry long,2024-01-29,Long,43287.7,0.000056,2.4241112,1.07,44.20,1.18,48.46,-0.08,-3.34,10858.4,1085.84
103,Exit long,2024-03-05,Trail L,63747.4,0.273572,11842.30266,5588.03,47.10,7132.24,60.12,-394.96,-3.34,16452.94,1645.29
103,Entry long,2024-01-29,Long,43287.7,0.273572,11842.30266,5588.03,47.10,7132.24,60.12,-394.96,-3.34,16452.94,1645.29
104,Exit long,2024-03-21,Margin call,67876.4,0.000004,0.261404,0.01,3.75,0.01,5.59,-0.02,-7.02,16443.35,1644.34
104,Entry long,2024-03-16,Long,65351,0.000004,0.261404,0.01,3.75,0.01,5.59,-0.02,-7.02,16443.35,1644.34
105,Exit long,2024-03-23,Margin call,63826.1,0.00014,9.14914,-0.22,-2.44,0.51,5.59,-0.64,-7.02,16443.13,1644.31
105,Entry long,2024-03-16,Long,65351,0.00014,9.14914,-0.22,-2.44,0.51,5.59,-0.64,-7.02,16443.13,1644.31
106,Exit long,2024-03-23,Exit L,64020.3,0.266749,17432.3139,-374.03,-2.14,974.82,5.59,-1222.85,-7.02,16078.69,1607.87
106,Entry long,2024-03-16,Long,65351,0.266749,17432.3139,-374.03,-2.14,974.82,5.59,-1222.85,-7.02,16078.69,1607.87
107,Exit long,2024-03-30,Margin call,69903.6,0.00036,25.215876,-0.08,-0.31,0.65,2.58,-0.62,-2.45,16069.24,1606.92
107,Entry long,2024-03-26,Long,70044.1,0.00036,25.215876,-0.08,-0.31,0.65,2.58,-0.62,-2.45,16069.24,1606.92
108,Exit long,2024-04-04,Exit L,68489.9,0.243292,17041.16918,-396.79,-2.33,439.2,2.58,-1358.51,-7.97,15681.82,1568.18
108,Entry long,2024-03-26,Long,70044.1,0.243292,17041.16918,-396.79,-2.33,439.2,2.58,-1358.51,-7.97,15681.82,1568.18
109,Exit long,2024-04-13,Margin call,67136.4,0.000204,14.1499908,-0.47,-3.32,0.71,5.03,-0.88,-6.19,15672.19,1567.22
109,Entry long,2024-04-07,Long,69362.7,0.000204,14.1499908,-0.47,-3.32,0.71,5.03,-0.88,-6.19,15672.19,1567.22
110,Exit long,2024-04-14,Margin call,63939.7,0.00016,11.098032,-0.88,-7.92,0.56,5.03,-1.56,-14.05,15671.32,1567.13
110,Entry long,2024-04-07,Long,69362.7,0.00016,11.098032,-0.88,-7.92,0.56,5.03,-1.56,-14.05,15671.32,1567.13
111,Exit long,2024-04-14,Exit L,65615.9,0.239952,16643.71859,-917.96,-5.51,837.26,5.03,-2340.14,-14.05,14762.52,1476.25
111,Entry long,2024-04-07,Long,69362.7,0.239952,16643.71859,-917.96,-5.51,837.26,5.03,-2340.14,-14.05,14762.52,1476.25
112,Exit long,2024-05-13,Exit L,62912.1,0.249473,15752.42374,-74.82,-0.47,303.02,1.92,-763.31,-4.84,14687.7,1468.77
112,Entry long,2024-05-06,Long,63142.8,0.249473,15752.42374,-74.82,-0.47,303.02,1.92,-763.31,-4.84,14687.7,1468.77
113,Exit long,2024-05-16,Margin call,66175.4,0.000776,51.3521104,-0.06,-0.11,0,0.00,-0.03,-0.05,14679.05,1467.90
113,Entry long,2024-05-15,Long,66175.4,0.000776,51.3521104,-0.06,-0.11,0,0.00,-0.03,-0.05,14679.05,1467.90
114,Exit long,2024-06-12,Exit L,68270.3,0.236272,15635.39411,477.44,3.05,1401.07,8.96,-388.74,-2.48,15165.08,1516.51
114,Entry long,2024-05-15,Long,66175.4,0.236272,15635.39411,477.44,3.05,1401.07,8.96,-388.74,-2.48,15165.08,1516.51
115,Exit long,2024-07-15,Margin call,60766,0.000016,0.972256,-0.001,-0.11,0,0.00,-0.001,-0.05,15156.2,1515.62
115,Entry long,2024-07-14,Long,60766,0.000016,0.972256,-0.001,-0.11,0,0.00,-0.001,-0.05,15156.2,1515.62
116,Exit long,2024-07-16,Margin call,64680.6,0.000124,7.534984,0.48,6.33,0.5,6.70,-0.02,-0.29,15156.68,1515.67
116,Entry long,2024-07-14,Long,60766,0.000124,7.534984,0.48,6.33,0.5,6.70,-0.02,-0.29,15156.68,1515.67
117,Exit long,2024-07-31,Trail L,64601.8,0.265663,16143.27786,1000.41,6.20,2465.7,15.27,-46.99,-0.29,16165.96,1616.60
117,Entry long,2024-07-14,Long,60766,0.265663,16143.27786,1000.41,6.20,2465.7,15.27,-46.99,-0.29,16165.96,1616.60
118,Exit short,2024-08-03,Margin call,62166,0.024196,1487.659605,-18.13,-1.22,0,0.00,-17.31,-1.16,16139.21,1613.92
118,Entry short,2024-08-02,Short,61483.7,0.024196,1487.659605,-18.13,-1.22,0,0.00,-17.31,-1.16,16139.21,1613.92
119,Exit short,2024-08-06,Trail S,55991.2,0.255102,15684.61484,1385.06,8.82,3203.32,20.42,-182.46,-1.16,17532.9,1753.29
119,Entry short,2024-08-02,Short,61483.7,0.255102,15684.61484,1385.06,8.82,3203.32,20.42,-182.46,-1.16,17532.9,1753.29
120,Exit short,2024-08-28,Margin call,59384.4,0.000056,3.325532,-0.004,-0.11,0,0.00,-0.002,-0.05,17522.71,1752.27
120,Entry short,2024-08-27,Short,59384.5,0.000056,3.325532,-0.004,-0.11,0,0.00,-0.002,-0.05,17522.71,1752.27
121,Exit short,2024-08-28,Margin call,60197.8,0.033536,1991.518592,-29.49,-1.48,0,0.00,-28.38,-1.42,17494.31,1749.43
121,Entry short,2024-08-27,Short,59384.5,0.033536,1991.518592,-29.49,-1.48,0,0.00,-28.38,-1.42,17494.31,1749.43
122,Exit short,2024-09-09,Trail S,57010,0.278263,16524.50912,642.87,3.89,1902.86,11.51,-498.99,-3.02,18146.27,1814.63
122,Entry short,2024-08-27,Short,59384.5,0.278263,16524.50912,642.87,3.89,1902.86,11.51,-498.99,-3.02,18146.27,1814.63
123,Exit short,2024-09-17,Margin call,61345,0.135308,7873.166596,-436.12,-5.54,76.6,0.97,-431.56,-5.48,17703.96,1770.40
123,Entry short,2024-09-16,Short,58187,0.135308,7873.166596,-436.12,-5.54,76.6,0.97,-431.56,-5.48,17703.96,1770.40
124,Exit short,2024-09-24,Exit S,64243.1,0.193581,11263.89765,-1185.26,-10.52,109.58,0.97,-1271.75,-11.28,16524.89,1652.49
124,Entry short,2024-09-16,Short,58187,0.193581,11263.89765,-1185.26,-10.52,109.58,0.97,-1271.75,-11.28,16524.89,1652.49
125,Exit short,2024-10-02,Margin call,60776.7,0.00004,2.431072,-0.003,-0.11,0,0.00,-0.001,-0.05,16515.25,1651.53
125,Entry short,2024-10-01,Short,60776.8,0.00004,2.431072,-0.003,-0.11,0,0.00,-0.001,-0.05,16515.25,1651.53
126,Exit short,2024-10-02,Margin call,62355,0.058248,3540.127046,-95.85,-2.71,47.08,1.33,-93.85,-2.65,16421.35,1642.14
126,Entry short,2024-10-01,Short,60776.8,0.058248,3540.127046,-95.85,-2.71,47.08,1.33,-93.85,-2.65,16421.35,1642.14
127,Exit short,2024-10-11,Exit S,62509,0.229985,13977.75235,-413.6,-2.96,423.57,3.03,-851.88,-6.09,16015.44,1601.54
127,Entry short,2024-10-01,Short,60776.8,0.229985,13977.75235,-413.6,-2.96,423.57,3.03,-851.88,-6.09,16015.44,1601.54
128,Exit long,2024-11-06,Margin call,69353.1,0.0003,20.35029,0.43,2.13,0.8,3.93,-0.13,-0.62,16006.53,1600.65
128,Entry long,2024-11-04,Long,67834.3,0.0003,20.35029,0.43,2.13,0.8,3.93,-0.13,-0.62,16006.53,1600.65
129,Exit long,2024-11-12,Margin call,88729,0.000308,20.8929644,6.42,30.66,6.76,32.31,-0.13,-0.62,16012.96,1601.30
129,Entry long,2024-11-04,Long,67834.3,0.000308,20.8929644,6.42,30.66,6.76,32.31,-0.13,-0.62,16012.96,1601.30
130,Exit long,2024-11-25,Trail L,93064,0.250192,16971.59919,6296.43,37.04,7961.09,46.84,-104.37,-0.62,22318.72,2231.87
130,Entry long,2024-11-04,Long,67834.3,0.250192,16971.59919,6296.43,37.04,7961.09,46.84,-104.37,-0.62,22318.72,2231.87
131,Exit long,2024-12-21,Margin call,97764.5,0.000032,3.1179008,0.01,0.23,0.02,0.77,-0.17,-5.35,22305.91,2230.59
131,Entry long,2024-12-19,Long,97434.4,0.000032,3.1179008,0.01,0.23,0.02,0.77,-0.17,-5.35,22305.91,2230.59
132,Exit long,2024-12-26,Exit L,95751,0.239285,23314.5904,-427.88,-1.84,588.62,2.53,-1246.87,-5.35,21890.85,2189.08
132,Entry long,2024-12-19,Long,97434.4,0.239285,23314.5904,-427.88,-1.84,588.62,2.53,-1246.87,-5.35,21890.85,2189.08
133,Exit long,2025-01-05,Margin call,98173.2,0.000296,29.0592672,-0.03,-0.11,0,0.00,-0.02,-0.05,21878.25,2187.82
133,Entry long,2025-01-04,Long,98173.2,0.000296,29.0592672,-0.03,-0.11,0,0.00,-0.02,-0.05,21878.25,2187.82
134,Exit long,2025-01-11,Exit L,94562.5,0.232858,22860.41501,-865.27,-3.78,1056.42,4.62,-1669.46,-7.30,21025.55,2102.55
134,Entry long,2025-01-04,Long,98173.2,0.232858,22860.41501,-865.27,-3.78,1056.42,4.62,-1669.46,-7.30,21025.55,2102.55
135,Exit long,2025-01-16,Margin call,100460,0.000364,36.56744,-0.04,-0.11,0,0.00,-0.02,-0.05,21013.42,2101.34
135,Entry long,2025-01-15,Long,100460,0.000364,36.56744,-0.04,-0.11,0,0.00,-0.02,-0.05,21013.42,2101.34
136,Exit long,2025-02-03,Exit L,101293.7,0.218841,21984.76686,158.13,0.72,2072.75,9.44,-2053.32,-9.34,21183.63,2118.36
136,Entry long,2025-01-15,Long,100460,0.218841,21984.76686,158.13,0.72,2072.75,9.44,-2053.32,-9.34,21183.63,2118.36
137,Exit short,2025-03-04,Margin call,88931,0.062548,5391.181,-177.17,-3.29,0,0.00,-174.12,-3.23,20997.23,2099.72
137,Entry short,2025-03-03,Short,86192.7,0.062548,5391.181,-177.17,-3.29,0,0.00,-174.12,-3.23,20997.23,2099.72
138,Exit short,2025-03-11,Trail S,82896,0.194662,16778.44337,623.28,3.71,1864.82,11.11,-1291.56,-7.69,21629.74,2162.97
138,Entry short,2025-03-03,Short,86192.7,0.194662,16778.44337,623.28,3.71,1864.82,11.11,-1291.56,-7.69,21629.74,2162.97
139,Exit short,2025-03-21,Margin call,84813.6,0.015052,1267.131547,-10.88,-0.86,0,0.00,-10.17,-0.80,21607.12,2160.71
139,Entry short,2025-03-20,Short,84183.6,0.015052,1267.131547,-10.88,-0.86,0,0.00,-10.17,-0.80,21607.12,2160.71
140,Exit short,2025-03-24,Margin call,88752,0.047468,3996.027125,-221.36,-5.54,48.16,1.21,-219.05,-5.48,21387.95,2138.80
140,Entry short,2025-03-20,Short,84183.6,0.047468,3996.027125,-221.36,-5.54,48.16,1.21,-219.05,-5.48,21387.95,2138.80
141,Exit short,2025-04-01,Exit S,85120.9,0.206076,17348.21955,-212.3,-1.22,600.72,3.46,-950.96,-5.48,21185.19,2118.52
141,Entry short,2025-03-20,Short,84183.6,0.206076,17348.21955,-212.3,-1.22,600.72,3.46,-950.96,-5.48,21185.19,2118.52
142,Exit short,2025-04-03,Margin call,83889.2,0.03578,2951.316878,-53.5,-1.81,45.34,1.54,-51.85,-1.76,21121.12,2112.11
142,Entry short,2025-04-02,Short,82485.1,0.03578,2951.316878,-53.5,-1.81,45.34,1.54,-51.85,-1.76,21121.12,2112.11
143,Exit short,2025-04-11,Exit S,83378.3,0.233032,19221.66782,-229.27,-1.19,1858.87,9.67,-523.29,-2.72,20902.42,2090.24
143,Entry short,2025-04-02,Short,82485.1,0.233032,19221.66782,-229.27,-1.19,1858.87,9.67,-523.29,-2.72,20902.42,2090.24
144,Exit long,2025-05-31,Margin call,103949.9,0.000056,5.9102344,-0.1,-1.61,0.04,0.63,-0.11,-1.93,20890.29,2089.03
144,Entry long,2025-05-29,Long,105539.9,0.000056,5.9102344,-0.1,-1.61,0.04,0.63,-0.11,-1.93,20890.29,2089.03
145,Exit long,2025-06-04,Margin call,105330.1,0.000084,8.8653516,-0.03,-0.31,0.1,1.11,-0.22,-2.43,20890.27,2089.03
145,Entry long,2025-05-29,Long,105539.9,0.000084,8.8653516,-0.03,-0.31,0.1,1.11,-0.22,-2.43,20890.27,2089.03
146,Exit long,2025-06-05,Exit L,101458.6,0.207213,21869.2393,-869.78,-3.97,244.02,1.11,-1097.37,-5.01,20032.52,2003.25
146,Entry long,2025-05-29,Long,105539.9,0.207213,21869.2393,-869.78,-3.97,244.02,1.11,-1097.37,-5.01,20032.52,2003.25
147,Exit long,2025-06-16,Exit L,106750.1,0.190613,21010.8707,-685.77,-3.26,15,0.07,-1463.51,-6.96,19346.74,1934.67
147,Entry long,2025-06-09,Long,110227.9,0.190613,21010.8707,-685.77,-3.26,15,0.07,-1463.51,-6.96,19346.74,1934.67
148,Exit long,2025-06-26,Margin call,107280.1,0.000064,6.86592,-0.01,-0.11,0,0.00,-0.004,-0.05,19335.56,1933.56
148,Entry long,2025-06-25,Long,107280,0.000064,6.86592,-0.01,-0.11,0,0.00,-0.004,-0.05,19335.56,1933.56
149,Exit long,2025-08-01,Exit L,113244.8,0.189416,20320.54848,1106.74,5.44,3024.57,14.87,-441.23,-2.17,20453.47,2045.35
149,Entry long,2025-06-25,Long,107280,0.189416,20320.54848,1106.74,5.44,3024.57,14.87,-441.23,-2.17,20453.47,2045.35
150,Exit long,2025-08-10,Margin call,116422.1,0.0001,11.64221,-0.01,-0.11,0,0.00,-0.01,-0.05,20441.67,2044.17
150,Entry long,2025-08-09,Long,116422.1,0.0001,11.64221,-0.01,-0.11,0,0.00,-0.01,-0.05,20441.67,2044.17
151,Exit long,2025-08-19,Exit L,112824.2,0.184051,21427.60393,-685.71,-3.20,1483.86,6.92,-703.3,-3.28,19767.75,1976.78
151,Entry long,2025-08-09,Long,116422.1,0.184051,21427.60393,-685.71,-3.20,1483.86,6.92,-703.3,-3.28,19767.75,1976.78
152,Exit long,2025-09-09,Margin call,112012.7,0.00006,6.720756,-0.01,-0.11,0,0.00,-0.004,-0.05,19756.33,1975.63
152,Entry long,2025-09-08,Long,112012.6,0.00006,6.720756,-0.01,-0.11,0,0.00,-0.004,-0.05,19756.33,1975.63
153,Exit long,2025-09-13,Margin call,115978.4,0.000208,23.2986208,0.8,3.43,0.94,4.04,-0.28,-1.21,19757.15,1975.71
153,Entry long,2025-09-08,Long,112012.6,0.000208,23.2986208,0.8,3.43,0.94,4.04,-0.28,-1.21,19757.15,1975.71
154,Exit long,2025-09-24,Exit L,113254,0.18502,20724.57125,206.83,1.00,1073.64,5.18,-251.54,-1.21,19975.38,1997.54
154,Entry long,2025-09-08,Long,112012.6,0.18502,20724.57125,206.83,1.00,1073.64,5.18,-251.54,-1.21,19975.38,1997.54
155,Exit long,2025-10-02,Margin call,118552,0.0004,47.42096,-0.05,-0.11,0,0.00,-0.03,-0.06,19963.82,1996.38
155,Entry long,2025-10-01,Long,118552.4,0.0004,47.42096,-0.05,-0.11,0,0.00,-0.03,-0.06,19963.82,1996.38
156,Exit long,2025-10-12,Exit L,114894.4,0.176412,20914.06599,-668.66,-3.19,1339.56,6.40,-3018.58,-14.42,19306.67,1930.67
156,Entry long,2025-10-01,Long,118552.4,0.176412,20914.06599,-668.66,-3.19,1339.56,6.40,-3018.58,-14.42,19306.67,1930.67
157,Exit long,2025-11-02,Exit L,110494.9,0.177223,20291.64361,-731.12,-3.60,322.46,1.59,-1481.84,-7.30,18575.55,1857.55
157,Entry long,2025-10-26,Long,114497.8,0.177223,20291.64361,-731.12,-3.60,322.46,1.59,-1481.84,-7.30,18575.55,1857.55
158,Exit short,2025-12-05,Margin call,92665.5,0.011432,1052.14069,-8.37,-0.80,0,0.00,-7.79,-0.74,18556.99,1855.70
158,Entry short,2025-12-04,Short,92034.7,0.011432,1052.14069,-8.37,-0.80,0,0.00,-7.79,-0.74,18556.99,1855.70
159,Exit short,2025-12-20,Exit S,88320.8,0.20108,18506.33748,726.47,3.93,1522.85,8.23,-516.99,-2.79,19293.65,1929.36
159,Entry short,2025-12-04,Short,92034.7,0.20108,18506.33748,726.47,3.93,1522.85,8.23,-516.99,-2.79,19293.65,1929.36
160,Exit short,2026-01-01,Margin call,88881.4,0.026208,2296.035706,-35.86,-1.56,1.35,0.06,-34.58,-1.51,19247.89,1924.79
160,Entry short,2025-12-31,Short,87608.2,0.026208,2296.035706,-35.86,-1.56,1.35,0.06,-34.58,-1.51,19247.89,1924.79
161,Exit short,2026-01-05,Margin call,94760.3,0.02916,2554.655112,-211.39,-8.27,1.5,0.06,-209.87,-8.21,19037.91,1903.79
161,Entry short,2025-12-31,Short,87608.2,0.02916,2554.655112,-211.39,-8.27,1.5,0.06,-209.87,-8.21,19037.91,1903.79
162,Exit short,2026-02-06,Trail S,70544.5,0.176384,15452.68475,2988.75,19.37,4887.16,31.67,-1828.51,-11.83,22035.15,2203.52
162,Entry short,2025-12-31,Short,87608.2,0.176384,15452.68475,2988.75,19.37,4887.16,31.67,-1828.51,-11.83,22035.15,2203.52
163,Exit short,2026-03-04,Margin call,74046.5,0.209424,14302.67491,-1220.79,-8.53,190.09,1.33,-1212.26,-8.47,20809.57,2080.96
163,Entry short,2026-03-03,Short,68295.3,0.209424,14302.67491,-1220.79,-8.53,190.09,1.33,-1212.26,-8.47,20809.57,2080.96
164,Exit short,2026-03-10,Exit S,69901.9,0.127681,8720.012199,-214.87,-2.46,343.28,3.93,-739.09,-8.47,20599.5,2059.95
164,Entry short,2026-03-03,Short,68295.3,0.127681,8720.012199,-214.87,-2.46,343.28,3.93,-739.09,-8.47,20599.5,2059.95
